feature,perm_importance,perm_importance_std
num__step_increment,0.0010265864696244649,0.00017595198528185077
num__retry_count,3.265193138612029e-05,1.5829248692630075e-05
num__attempts,2.8265851050646162e-05,1.0765742390096745e-05
prompt__risk 50,2.7755575615628914e-17,4.8074067159589095e-17
cat__lane_persona,9.25185853854297e-18,3.0684943385792895e-17
cat__run_group_persona,9.25185853854297e-18,3.0684943385792895e-17
prompt__who,9.25185853854297e-18,3.0684943385792895e-17
cat__run_treatment_S_AC_adv_coop,9.25185853854297e-18,3.0684943385792895e-17
num__progress_gap_before,9.25185853854297e-18,3.0684943385792895e-17
cat__persona_condition_S_CA,9.25185853854297e-18,3.0684943385792895e-17
cat__run_treatment_baseline,9.25185853854297e-18,3.0684943385792895e-17
cat__lane_baseline,9.25185853854297e-18,3.0684943385792895e-17
prompt__10 your,9.25185853854297e-18,3.0684943385792895e-17
prompt__45 your,9.25185853854297e-18,3.0684943385792895e-17
prompt__90,9.25185853854297e-18,3.0684943385792895e-17
prompt__and round,9.25185853854297e-18,3.0684943385792895e-17
prompt__and who,9.25185853854297e-18,3.0684943385792895e-17
prompt__executive,9.25185853854297e-18,3.0684943385792895e-17
prompt__executive who,9.25185853854297e-18,3.0684943385792895e-17
prompt__is 90,9.25185853854297e-18,3.0684943385792895e-17
prompt__payoff company,9.25185853854297e-18,3.0684943385792895e-17
prompt__payoff your,9.25185853854297e-18,3.0684943385792895e-17
num__round_payoff,9.25185853854297e-18,3.0684943385792895e-17
cat__run_group_baseline,9.25185853854297e-18,3.0684943385792895e-17
num__response_chars,9.25185853854297e-18,3.0684943385792895e-17
prompt__would much,0.0,0.0
prompt__year,0.0,0.0
prompt__year and,0.0,0.0
num__prompt_chars,0.0,0.0
cat__run_treatment_S_AA_adv_adv,0.0,0.0
cat__run_treatment_S_CA_coop_adv,0.0,0.0
cat__run_treatment_baseline_swapped,0.0,0.0
cat__run_treatment_google-gemini-3-flash-preview,0.0,0.0
cat__run_treatment_google-gemini-3.1-flash-lite-preview,0.0,0.0
cat__run_treatment_google-gemini-3.5-flash-lite,0.0,0.0
cat__run_treatment_persona_baseline_adv_adv,0.0,0.0
cat__run_treatment_persona_baseline_adv_coop,0.0,0.0
