model,model_label,max_private_risk,round,estimate,ci95_low,ci95_high,n_blocks,n_observations,n_players_at_risk
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,1,1.0,1.0,1.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,2,1.0,1.0,1.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,3,1.0,1.0,1.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,4,1.0,1.0,1.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,5,1.0,1.0,1.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,6,1.0,1.0,1.0,8,8,16
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,7,1.0,1.0,1.0,8,8,16
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,8,1.0,1.0,1.0,7,7,14
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,9,1.0,1.0,1.0,6,6,12
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,10,1.0,1.0,1.0,4,4,8
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,11,1.0,1.0,1.0,3,3,6
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,12,1.0,1.0,1.0,2,2,4
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,13,1.0,1.0,1.0,2,2,4
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,14,1.0,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,15,1.0,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,16,1.0,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,1,1.0,1.0,1.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,2,0.2,0.0,0.45,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,3,0.7,0.55,0.85,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,4,0.7,0.55,0.85,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,5,0.8,0.65,0.95,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,6,0.8125,0.625,0.9375,8,8,16
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,7,0.8125,0.625,0.9375,8,8,16
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,8,0.7857142857142857,0.5714285714285714,0.9285714285714286,7,7,14
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,9,0.75,0.5833333333333334,0.9166666666666666,6,6,12
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,10,0.875,0.625,1.0,4,4,8
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,11,0.6666666666666666,0.5,1.0,3,3,6
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,12,0.75,0.5,1.0,2,2,4
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,13,0.75,0.5,1.0,2,2,4
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,14,1.0,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,15,1.0,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,16,1.0,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,1,1.0,1.0,1.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,2,0.0,0.0,0.0,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,3,0.5,0.3,0.7,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,4,0.6,0.5,0.75,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,5,0.45,0.25,0.65,10,10,20
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,6,0.625,0.375,0.875,8,8,16
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,7,0.625,0.375,0.875,8,8,16
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,8,0.42857142857142855,0.21428571428571427,0.6428571428571429,7,7,14
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,9,0.5833333333333334,0.3333333333333333,0.8333333333333334,6,6,12
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,10,0.75,0.5,1.0,4,4,8
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,11,0.6666666666666666,0.5,1.0,3,3,6
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,12,0.5,0.0,1.0,2,2,4
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,13,0.75,0.5,1.0,2,2,4
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,14,0.5,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,15,1.0,,,1,1,2
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,16,0.5,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,1,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,2,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,3,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,4,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,5,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,6,1.0,1.0,1.0,8,8,16
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,7,1.0,1.0,1.0,8,8,16
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,8,1.0,1.0,1.0,7,7,14
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,9,1.0,1.0,1.0,6,6,12
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,10,1.0,1.0,1.0,4,4,8
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,11,1.0,1.0,1.0,3,3,6
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,12,1.0,1.0,1.0,2,2,4
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,13,1.0,1.0,1.0,2,2,4
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,14,1.0,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,15,1.0,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,16,1.0,,,1,1,2
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,1,1.0,1.0,1.0,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,2,0.55,0.5,0.65,10,10,20
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,3,0.5,0.5,0.5,10,10,20
